slice_type,slice_name,n,mdape,ppe10,ppe20,median_signed_pct_error,overvaluation_rate,undervaluation_rate,median_valuation_ratio,median_comp_count,median_comp_dispersion
neighborhood,NEW BRIGHTON,138,0.20825200601279786,0.26811594202898553,0.4927536231884058,0.09553375,0.4855072463768116,0.2463768115942029,1.09553375,,
neighborhood,CAMBRIA HEIGHTS,135,0.20776071673525376,0.2740740740740741,0.4888888888888889,-0.10182535670287277,0.21481481481481482,0.5111111111111111,0.8981746432971273,,
property_segment,SINGLE_FAMILY,25148,0.20771565942901438,0.2400986161921425,0.48202640369015426,-0.08883418559017718,0.27652298393510416,0.48337839987275333,0.9111658144098228,,
neighborhood,WAKEFIELD,150,0.20758788494236902,0.22,0.49333333333333335,0.009968803289146129,0.4,0.38,1.009968803289146,,
neighborhood,JAMAICA HILLS,55,0.2075616714308776,0.2909090909090909,0.4727272727272727,-0.0725686440677966,0.2545454545454545,0.45454545454545453,0.9274313559322034,,
borough_segment,4|SINGLE_FAMILY,10241,0.20631343201754385,0.24245679132897177,0.4856947563714481,-0.10659721153846154,0.24704618689581095,0.5104970217752173,0.8934027884615384,,
neighborhood,NEW SPRINGVILLE,215,0.20625625,0.24651162790697675,0.4790697674418605,-0.07509086457750419,0.3116279069767442,0.4418604651162791,0.9249091354224958,,
neighborhood,SOUTH OZONE PARK,325,0.20578504601226993,0.2553846153846154,0.48923076923076925,-0.1090125625,0.2246153846153846,0.52,0.8909874375,,
neighborhood,OAKWOOD-BEACH,43,0.20571832706766918,0.2558139534883721,0.4883720930232558,-0.18643583333333333,0.046511627906976744,0.6976744186046512,0.8135641666666666,,
neighborhood,SOUTH JAMAICA,269,0.2054966783216783,0.22676579925650558,0.48698884758364314,-0.07123902173913044,0.31226765799256506,0.46096654275092935,0.9287609782608696,,
neighborhood,PARKCHESTER,361,0.20497162828947368,0.2188365650969529,0.4792243767313019,0.10577688679245283,0.5096952908587258,0.27146814404432135,1.105776886792453,,
neighborhood,CANARSIE,379,0.20494289737171464,0.2796833773087071,0.49340369393139843,-0.0007858870967741936,0.3641160949868074,0.3562005277044855,0.9992141129032258,,
neighborhood,FLATBUSH-EAST,544,0.20450498109863696,0.2610294117647059,0.49816176470588236,-0.008007854894163457,0.36213235294117646,0.37683823529411764,0.9919921451058366,,
neighborhood,GREAT KILLS,531,0.20437461419753086,0.19962335216572505,0.487758945386064,-0.16710400390625,0.15819209039548024,0.6421845574387948,0.83289599609375,,
neighborhood,CROTONA PARK,34,0.20330416666666667,0.20588235294117646,0.5,-0.014161849306230264,0.35294117647058826,0.4411764705882353,0.9858381506937698,,
neighborhood,RIDGEWOOD,225,0.20225571725571725,0.29777777777777775,0.49333333333333335,0.10781770513010355,0.5111111111111111,0.19111111111111112,1.1078177051301035,,
neighborhood,SOUTH BEACH,141,0.2015777066929134,0.18439716312056736,0.49645390070921985,-0.1608110576923077,0.16312056737588654,0.6524822695035462,0.8391889423076923,,
neighborhood,FLATLANDS,153,0.20072666139240505,0.24183006535947713,0.49673202614379086,-0.09796294642857142,0.26143790849673204,0.49673202614379086,0.9020370535714286,,
borough,5,5255,0.20066345486111112,0.24262607040913417,0.49762131303520457,-0.1052492,0.24643196955280686,0.510941960038059,0.8947508,,
neighborhood,ELTINGVILLE,276,0.1999352055027174,0.1956521739130435,0.5,-0.15501096601123596,0.14130434782608695,0.6630434782608695,0.844989033988764,,
neighborhood,MANOR HEIGHTS,82,0.19964245269189768,0.23170731707317074,0.5,-0.16260892711251168,0.15853658536585366,0.6097560975609756,0.8373910728874883,,
neighborhood,GRASMERE,58,0.1996205507546308,0.1724137931034483,0.5,-0.18417280117861246,0.06896551724137931,0.7586206896551724,0.8158271988213875,,
