segment,period,feature,feature_type,baseline_scope,reference_n,current_n,missing_rate_train,missing_rate_test,psi,ks,cat_tvd,cat_unseen_rate,status
SINGLE_FAMILY,2024Q3,neighborhood,categorical,segment,103119,4980,0.0,0.0,,,0.08683874648508208,0.0,ok
SINGLE_FAMILY,2024Q3,property_segment,categorical,segment,103119,4980,0.0,0.0,,,0.0,0.0,ok
SINGLE_FAMILY,2024Q3,residential_units,numeric,segment,102605,4946,0.0049845324334021855,0.006827309236947791,0.0021695916129397526,0.012060906392912574,,,ok
SINGLE_FAMILY,2024Q3,total_units,numeric,segment,102605,4946,0.0049845324334021855,0.006827309236947791,0.004235515381590664,0.01311770946700963,,,ok
SINGLE_FAMILY,2024Q3,year_built,numeric,segment,103119,4980,0.0,0.0,0.0032543222663513316,0.012373305516599875,,,ok
SINGLE_FAMILY,2024Q4,borough,numeric,segment,103119,4910,0.0,0.0,0.0006922997793458587,0.010504919780162658,,,ok
SINGLE_FAMILY,2024Q4,building_age,numeric,segment,103119,4910,0.0,0.0,0.0021429934106841704,0.011882816896200965,,,ok
SINGLE_FAMILY,2024Q4,building_class,categorical,segment,103119,4910,0.0,0.0,,,0.02445429695456549,0.0,ok
SINGLE_FAMILY,2024Q4,distance_to_center_km,numeric,segment,103119,4910,0.0,0.0,0.0014041495819148082,0.01024197638190305,,,ok
SINGLE_FAMILY,2024Q4,gross_square_feet,numeric,segment,103119,4910,0.0,0.0,0.001741074622205416,0.01558689366638255,,,ok
SINGLE_FAMILY,2024Q4,h3_price_lag,numeric,segment,103119,4910,0.0,0.0,0.0024479249628303152,0.014271272098601073,,,ok
SINGLE_FAMILY,2024Q4,neighborhood,categorical,segment,103119,4910,0.0,0.0,,,0.08144925358515952,0.0,ok
SINGLE_FAMILY,2024Q4,property_segment,categorical,segment,103119,4910,0.0,0.0,,,0.0,0.0,ok
SINGLE_FAMILY,2024Q4,residential_units,numeric,segment,102605,4876,0.0049845324334021855,0.006924643584521385,0.0005829698802219236,0.01135366084299727,,,ok
SINGLE_FAMILY,2024Q4,total_units,numeric,segment,102605,4876,0.0049845324334021855,0.006924643584521385,0.001152696055830551,0.012660199745761491,,,ok
SINGLE_FAMILY,2024Q4,year_built,numeric,segment,103119,4910,0.0,0.0,0.00237516243996315,0.011882816896200965,,,ok
