segment,period,feature,n,missing_n,missing_rate
WALKUP,2024Q4,building_age,1016,0,0.0
WALKUP,2024Q4,building_class,1016,0,0.0
WALKUP,2024Q4,days_since_2019_start,1016,0,0.0
WALKUP,2024Q4,distance_to_center_km,1016,0,0.0
WALKUP,2024Q4,gross_square_feet,1016,0,0.0
WALKUP,2024Q4,h3_price_lag,1016,0,0.0
WALKUP,2024Q4,month_cos,1016,0,0.0
WALKUP,2024Q4,month_sin,1016,0,0.0
WALKUP,2024Q4,neighborhood,1016,0,0.0
WALKUP,2024Q4,property_segment,1016,0,0.0
WALKUP,2024Q4,rate_regime_bucket,1016,0,0.0
WALKUP,2024Q4,residential_units,1016,491,0.48326771653543305
WALKUP,2024Q4,total_units,1016,491,0.48326771653543305
WALKUP,2024Q4,year_built,1016,0,0.0
